SN,PROVINCE,DISTRICT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
1,KOSHI PROVINCE,TAPLEJUNG,0,0,0,0,1,0,1,2,2,0,0,0,6
2,KOSHI PROVINCE,SANKHUWASABHA,3,8,6,6,4,5,27,32,50,2,0,0,143
3,KOSHI PROVINCE,SOLUKHUMBU,2,0,0,0,1,0,1,1,5,2,0,0,12
4,KOSHI PROVINCE,OKHALDHUNGA,5,16,6,3,7,8,14,22,24,12,0,0,117
5,KOSHI PROVINCE,KHOTANG,1,0,1,1,1,6,5,8,14,1,0,0,38
6,KOSHI PROVINCE,BHOJPUR,4,4,2,4,9,16,23,41,43,0,0,0,146
7,KOSHI PROVINCE,DHANKUTA,2,5,5,1,2,29,15,17,26,4,0,0,106
8,KOSHI PROVINCE,TERHATHUM,0,0,0,0,2,10,13,6,9,1,0,0,41
9,KOSHI PROVINCE,PANCHTHAR,0,1,1,0,2,0,4,14,47,0,0,0,69
10,KOSHI PROVINCE,ILAM,8,3,3,4,2,11,6,3,12,3,0,0,55
11,KOSHI PROVINCE,JHAPA,"2
2",17,11,10,44,15,10,38,46,12,0,0,225
12,KOSHI PROVINCE,MORANG,8,1,2,1,1,2,5,54,83,17,0,0,174
13,KOSHI PROVINCE,SUNSARI,5,3,2,4,3,4,11,36,112,4,0,0,184
14,KOSHI PROVINCE,UDAYAPUR,2,0,1,0,2,0,4,24,69,4,0,0,106
15,MADHESH PROVINCE,SAPTARI,1,0,0,1,1,0,0,10,29,2,0,0,44
16,MADHESH PROVINCE,SIRAHA,0,0,0,0,0,2,1,4,27,0,0,0,34
17,MADHESH PROVINCE,DHANUSA,1,0,0,0,0,0,1,4,33,4,0,0,43
18,MADHESH PROVINCE,MAHOTTARI,0,0,0,1,0,0,0,0,9,2,0,0,12
19,MADHESH PROVINCE,SARLAHI,0,0,0,0,0,2,1,11,27,3,0,0,44
20,MADHESH PROVINCE,RAUTAHAT,0,0,1,4,5,3,2,6,25,6,0,0,52
21,MADHESH PROVINCE,BARA,2,2,1,1,2,3,3,9,33,7,0,0,63
22,MADHESH PROVINCE,PARSA,2,1,0,1,1,0,1,14,22,9,0,0,51
23,BAGMATI PROVINCE,DOLAKHA,0,1,2,2,1,0,3,4,29,16,0,0,58
24,BAGMATI PROVINCE,SINDHUPALCHOK,1,10,25,2,5,2,13,16,64,6,0,0,144
25,BAGMATI PROVINCE,RASUWA,1,0,0,0,0,0,0,4,6,2,0,0,13
26,BAGMATI PROVINCE,DHADING,2,0,0,0,2,0,5,22,99,22,0,0,152
27,BAGMATI PROVINCE,NUWAKOT,4,0,2,2,2,4,3,27,102,7,0,0,153
28,BAGMATI PROVINCE,KATHMANDU,"1
6",7,14,36,32,51,109,284,1518,500,0,0,2567
29,BAGMATI PROVINCE,BHAKTAPUR,14,3,2,3,4,7,7,41,165,62,0,0,308
30,BAGMATI PROVINCE,LALITPUR,10,1,4,2,1,2,11,84,400,131,0,0,646
31,BAGMATI PROVINCE,KAVREPALANCHOK,2,2,0,0,8,15,36,40,84,36,0,0,223
32,BAGMATI PROVINCE,RAMECHHAP,2,7,0,1,1,1,3,6,36,13,0,0,70
33,BAGMATI PROVINCE,SINDHULI,2,3,1,1,0,3,5,12,43,13,0,0,83
34,BAGMATI PROVINCE,MAKWANPUR,"1
1",11,13,12,9,9,15,45,99,23,0,0,247
35,BAGMATI PROVINCE,CHITAWAN,10,10,11,25,16,7,134,313,321,60,0,0,907
36,GANDAKI PROVINCE,GORKHA,12,0,1,3,2,6,32,197,306,61,0,0,620
37,GANDAKI PROVINCE,MANANG,0,0,0,0,0,1,0,1,0,0,0,0,2
38,GANDAKI PROVINCE,MUSTANG,0,0,0,0,0,0,0,0,12,1,0,0,"1
3"
39,GANDAKI PROVINCE,MYAGDI,6,3,2,1,1,7,11,28,115,27,0,0,201
40,GANDAKI PROVINCE,KASKI,"1
8",1,0,1,4,9,86,610,1722,258,0,0,2709
41,GANDAKI PROVINCE,LAMJUNG,10,0,0,7,7,4,20,31,30,5,0,0,114
42,GANDAKI PROVINCE,TANAHU,9,0,2,11,17,9,274,854,588,190,0,0,1954
43,GANDAKI PROVINCE,NAWALPARASI EAST,6,3,4,3,4,3,11,29,63,20,0,0,146
44,GANDAKI PROVINCE,SYANGJA,5,5,3,1,4,3,19,77,158,18,0,0,293
45,GANDAKI PROVINCE,PARBAT,1,0,2,1,2,3,22,620,659,111,0,0,1421
46,GANDAKI PROVINCE,BAGLUNG,0,2,4,0,2,1,12,58,289,221,0,0,589
47,LUMBINI PROVINCE,RUKUM EAST,0,0,1,0,0,1,0,1,6,0,0,0,9
48,LUMBINI PROVINCE,ROLPA,0,0,1,1,0,1,2,12,17,3,0,0,"3
7"
49,LUMBINI PROVINCE,PYUTHAN,0,0,1,1,0,1,0,9,12,4,0,0,28
50,LUMBINI PROVINCE,GULMI,3,3,2,2,3,3,4,30,41,5,0,0,96
51,LUMBINI PROVINCE,ARGHAKHANCHI,0,1,2,2,6,9,9,41,55,5,0,0,130
52,LUMBINI PROVINCE,PALPA,4,6,10,2,0,11,25,46,103,13,0,0,220
53,LUMBINI PROVINCE,NAWALPARASI WEST,1,0,2,0,0,1,4,8,13,2,0,0,31
54,LUMBINI PROVINCE,RUPANDEHI,3,8,6,9,2,2,12,28,81,7,0,0,158
55,LUMBINI PROVINCE,KAPILBASTU,6,2,2,4,0,0,0,9,18,1,0,0,42
56,LUMBINI PROVINCE,DANG,3,4,1,2,4,8,11,82,151,20,0,0,286
57,LUMBINI PROVINCE,BANKE,0,0,1,4,1,1,5,9,27,4,0,0,52
58,LUMBINI PROVINCE,BARDIYA,0,0,0,1,7,2,3,6,24,3,0,0,46
59,KARNALI PROVINCE,DOLPA,0,0,0,0,0,0,0,3,0,0,0,0,3
60,KARNALI PROVINCE,MUGU,0,0,0,0,0,1,1,1,1,2,0,0,6
61,KARNALI PROVINCE,HUMLA,0,0,0,0,0,0,0,0,0,0,0,0,0
62,KARNALI PROVINCE,JUMLA,0,0,0,0,0,0,0,2,4,4,0,0,10
63,KARNALI PROVINCE,KALIKOT,0,0,0,1,0,0,0,10,8,3,0,0,22
64,KARNALI PROVINCE,DAILEKH,0,0,0,1,2,1,1,4,9,1,0,0,19
65,KARNALI PROVINCE,JAJARKOT,0,0,1,0,0,0,0,3,14,1,0,0,19
66,KARNALI PROVINCE,RUKUM WEST,0,2,3,1,0,1,0,6,19,3,0,0,35
67,KARNALI PROVINCE,SALYAN,0,0,0,1,1,1,1,5,16,0,0,0,25
68,KARNALI PROVINCE,SURKHET,0,0,2,0,0,1,9,37,56,7,0,0,112
67,KARNALI PROVINCE,SALYAN,0 0,0,0,1,,1,1,5,16,0,0,0,25
68,KARNALI PROVINCE,SURKHET,0,0,2,0,0,1,9,37,56,7,0,0,112
69,SUDUR PASHCHIM PROVINCE,BAJURA,2,4,5,1,1,2,1,7,9,4,0,0,36
70,SUDUR PASHCHIM PROVINCE,BAJHANG,0,0,0,1,1,1,1,1,15,1,0,0,21
71,SUDUR PASHCHIM PROVINCE,DARCHULA,0,0,0,1,7,6,5,7,19,0,0,0,45
72,SUDUR PASHCHIM PROVINCE,BAITADI,0,0,0,0,0,3,3,16,41,3,0,0,66
73,SUDUR PASHCHIM PROVINCE,DADELDHURA,0,0,1,0,2,2,3,7,50,5,0,0,70
74,SUDUR PASHCHIM PROVINCE,DOTI,4,8,9,6,2,20,4,3,19,5,0,0,80
75,SUDUR PASHCHIM PROVINCE,ACHHAM,0,0,10,12,2,9,16,20,32,4,0,0,105
76,SUDUR PASHCHIM PROVINCE,KAILALI,1,9,7,12,7,14,23,75,92,26,0,0,266
77,SUDUR PASHCHIM PROVINCE,KANCHANPUR,6,4,7,5,4,0,9,21,58,15,0,0,129
1,KOSHI PROVINCE,TAPLEJUNG,0,0,0,0,1,0,1,2,2,0,0,0,6
2,KOSHI PROVINCE,SANKHUWASABHA,3,8,6,6,4,5,27,32,50,2,0,0,143
3,KOSHI PROVINCE,SOLUKHUMBU,2,0,0,0,1,0,1,1,5,2,0,0,12
4,KOSHI PROVINCE,OKHALDHUNGA,5,16,6,3,7,8,14,22,24,12,0,0,117
5,KOSHI PROVINCE,KHOTANG,1,0,1,1,1,6,5,8,14,1,0,0,38
6,KOSHI PROVINCE,BHOJPUR,4,4,2,4,9,16,23,41,43,0,0,0,146
7,KOSHI PROVINCE,DHANKUTA,2,5,5,1,2,29,15,17,26,4,0,0,106
8,KOSHI PROVINCE,TERHATHUM,0,0,0,0,2,10,13,6,9,1,0,0,41
9,KOSHI PROVINCE,PANCHTHAR,0,1,1,0,2,0,4,14,47,0,0,0,69
10,KOSHI PROVINCE,ILAM,8,3,3,4,2,11,6,3,12,3,0,0,55
11,KOSHI PROVINCE,JHAPA,"2
2",17,11,10,44,15,10,38,46,12,0,0,225
12,KOSHI PROVINCE,MORANG,8,1,2,1,1,2,5,54,83,17,0,0,174
13,KOSHI PROVINCE,SUNSARI,5,3,2,4,3,4,11,36,112,4,0,0,184
14,KOSHI PROVINCE,UDAYAPUR,2,0,1,0,2,0,4,24,69,4,0,0,106
15,MADHESH PROVINCE,SAPTARI,1,0,0,1,1,0,0,10,29,2,0,0,44
16,MADHESH PROVINCE,SIRAHA,0,0,0,0,0,2,1,4,27,0,0,0,34
17,MADHESH PROVINCE,DHANUSA,1,0,0,0,0,0,1,4,33,4,0,0,43
18,MADHESH PROVINCE,MAHOTTARI,0,0,0,1,0,0,0,0,9,2,0,0,12
19,MADHESH PROVINCE,SARLAHI,0,0,0,0,0,2,1,11,27,3,0,0,44
20,MADHESH PROVINCE,RAUTAHAT,0,0,1,4,5,3,2,6,25,6,0,0,52
21,MADHESH PROVINCE,BARA,2,2,1,1,2,3,3,9,33,7,0,0,63
22,MADHESH PROVINCE,PARSA,2,1,0,1,1,0,1,14,22,9,0,0,51
23,BAGMATI PROVINCE,DOLAKHA,0,1,2,2,1,0,3,4,29,16,0,0,58
24,BAGMATI PROVINCE,SINDHUPALCHOK,1,10,25,2,5,2,13,16,64,6,0,0,144
25,BAGMATI PROVINCE,RASUWA,1,0,0,0,0,0,0,4,6,2,0,0,13
26,BAGMATI PROVINCE,DHADING,2,0,0,0,2,0,5,22,99,22,0,0,152
27,BAGMATI PROVINCE,NUWAKOT,4,0,2,2,2,4,3,27,102,7,0,0,153
28,BAGMATI PROVINCE,KATHMANDU,"1
6",7,14,36,32,51,109,284,1518,500,0,0,2567
29,BAGMATI PROVINCE,BHAKTAPUR,14,3,2,3,4,7,7,41,165,62,0,0,308
30,BAGMATI PROVINCE,LALITPUR,10,1,4,2,1,2,11,84,400,131,0,0,646
31,BAGMATI PROVINCE,KAVREPALANCHOK,2,2,0,0,8,15,36,40,84,36,0,0,223
32,BAGMATI PROVINCE,RAMECHHAP,2,7,0,1,1,1,3,6,36,13,0,0,70
33,BAGMATI PROVINCE,SINDHULI,2,3,1,1,0,3,5,12,43,13,0,0,83
34,BAGMATI PROVINCE,MAKWANPUR,"1
1",11,13,12,9,9,15,45,99,23,0,0,247
35,BAGMATI PROVINCE,CHITAWAN,10,10,11,25,16,7,134,313,321,60,0,0,907
36,GANDAKI PROVINCE,GORKHA,12,0,1,3,2,6,32,197,306,61,0,0,620
37,GANDAKI PROVINCE,MANANG,0,0,0,0,0,1,0,1,0,0,0,0,2
38,GANDAKI PROVINCE,MUSTANG,0,0,0,0,0,0,0,0,12,1,0,0,"1
3"
39,GANDAKI PROVINCE,MYAGDI,6,3,2,1,1,7,11,28,115,27,0,0,201
40,GANDAKI PROVINCE,KASKI,"1
8",1,0,1,4,9,86,610,1722,258,0,0,2709
41,GANDAKI PROVINCE,LAMJUNG,10,0,0,7,7,4,20,31,30,5,0,0,114
42,GANDAKI PROVINCE,TANAHU,9,0,2,11,17,9,274,854,588,190,0,0,1954
43,GANDAKI PROVINCE,NAWALPARASI EAST,6,3,4,3,4,3,11,29,63,20,0,0,146
44,GANDAKI PROVINCE,SYANGJA,5,5,3,1,4,3,19,77,158,18,0,0,293
45,GANDAKI PROVINCE,PARBAT,1,0,2,1,2,3,22,620,659,111,0,0,1421
46,GANDAKI PROVINCE,BAGLUNG,0,2,4,0,2,1,12,58,289,221,0,0,589
47,LUMBINI PROVINCE,RUKUM EAST,0,0,1,0,0,1,0,1,6,0,0,0,9
48,LUMBINI PROVINCE,ROLPA,0,0,1,1,0,1,2,12,17,3,0,0,"3
7"
49,LUMBINI PROVINCE,PYUTHAN,0,0,1,1,0,1,0,9,12,4,0,0,28
50,LUMBINI PROVINCE,GULMI,3,3,2,2,3,3,4,30,41,5,0,0,96
51,LUMBINI PROVINCE,ARGHAKHANCHI,0,1,2,2,6,9,9,41,55,5,0,0,130
52,LUMBINI PROVINCE,PALPA,4,6,10,2,0,11,25,46,103,13,0,0,220
53,LUMBINI PROVINCE,NAWALPARASI WEST,1,0,2,0,0,1,4,8,13,2,0,0,31
54,LUMBINI PROVINCE,RUPANDEHI,3,8,6,9,2,2,12,28,81,7,0,0,158
55,LUMBINI PROVINCE,KAPILBASTU,6,2,2,4,0,0,0,9,18,1,0,0,42
56,LUMBINI PROVINCE,DANG,3,4,1,2,4,8,11,82,151,20,0,0,286
57,LUMBINI PROVINCE,BANKE,0,0,1,4,1,1,5,9,27,4,0,0,52
58,LUMBINI PROVINCE,BARDIYA,0,0,0,1,7,2,3,6,24,3,0,0,46
59,KARNALI PROVINCE,DOLPA,0,0,0,0,0,0,0,3,0,0,0,0,3
60,KARNALI PROVINCE,MUGU,0,0,0,0,0,1,1,1,1,2,0,0,6
61,KARNALI PROVINCE,HUMLA,0,0,0,0,0,0,0,0,0,0,0,0,0
62,KARNALI PROVINCE,JUMLA,0,0,0,0,0,0,0,2,4,4,0,0,10
63,KARNALI PROVINCE,KALIKOT,0,0,0,1,0,0,0,10,8,3,0,0,22
64,KARNALI PROVINCE,DAILEKH,0,0,0,1,2,1,1,4,9,1,0,0,19
65,KARNALI PROVINCE,JAJARKOT,0,0,1,0,0,0,0,3,14,1,0,0,19
66,KARNALI PROVINCE,RUKUM WEST,0,2,3,1,0,1,0,6,19,3,0,0,35
67,KARNALI PROVINCE,SALYAN,0,0,0,1,1,1,1,5,16,0,0,0,25
68,KARNALI PROVINCE,SURKHET,0,0,2,0,0,1,9,37,56,7,0,0,112
69,SUDUR PASHCHIM PROVINCE,BAJURA,2,4,5,1,1,2,1,7,9,4,0,0,36
70,SUDUR PASHCHIM PROVINCE,BAJHANG,0,0,0,1,1,1,1,1,15,1,0,0,21
71,SUDUR PASHCHIM PROVINCE,DARCHULA,0,0,0,1,7,6,5,7,19,0,0,0,45
72,SUDUR PASHCHIM PROVINCE,BAITADI,0,0,0,0,0,3,3,16,41,3,0,0,66
73,SUDUR PASHCHIM PROVINCE,DADELDHURA,0,0,1,0,2,2,3,7,50,5,0,0,70
74,SUDUR PASHCHIM PROVINCE,DOTI,4,8,9,6,2,20,4,3,19,5,0,0,80
75,SUDUR PASHCHIM PROVINCE,ACHHAM,0,0,10,12,2,9,16,20,32,4,0,0,105
76,SUDUR PASHCHIM PROVINCE,KAILALI,1,9,7,12,7,14,23,75,92,26,0,0,266
77,SUDUR PASHCHIM PROVINCE,KANCHANPUR,6,4,7,5,4,0,9,21,58,15,0,0,129
1,KOSHI PROVINCE,TAPLEJUNG,0,0,0,0,1,0,1,2,2,0,0,0,6
2,KOSHI PROVINCE,SANKHUWASABHA,3,8,6,6,4,5,27,32,50,2,0,0,143
3,KOSHI PROVINCE,SOLUKHUMBU,2,0,0,0,1,0,1,1,5,2,0,0,12
4,KOSHI PROVINCE,OKHALDHUNGA,5,16,6,3,7,8,14,22,24,12,0,0,117
5,KOSHI PROVINCE,KHOTANG,1,0,1,1,1,6,5,8,14,1,0,0,38
6,KOSHI PROVINCE,BHOJPUR,4,4,2,4,9,16,23,41,43,0,0,0,146
7,KOSHI PROVINCE,DHANKUTA,2,5,5,1,2,29,15,17,26,4,0,0,106
8,KOSHI PROVINCE,TERHATHUM,0,0,0,0,2,10,13,6,9,1,0,0,41
9,KOSHI PROVINCE,PANCHTHAR,0,1,1,0,2,0,4,14,47,0,0,0,69
10,KOSHI PROVINCE,ILAM,8,3,3,4,2,11,6,3,12,3,0,0,55
11,KOSHI PROVINCE,JHAPA,"2
2",17,11,10,44,15,10,38,46,12,0,0,225
12,KOSHI PROVINCE,MORANG,8,1,2,1,1,2,5,54,83,17,0,0,174
13,KOSHI PROVINCE,SUNSARI,5,3,2,4,3,4,11,36,112,4,0,0,184
14,KOSHI PROVINCE,UDAYAPUR,2,0,1,0,2,0,4,24,69,4,0,0,106
15,MADHESH PROVINCE,SAPTARI,1,0,0,1,1,0,0,10,29,2,0,0,44
16,MADHESH PROVINCE,SIRAHA,0,0,0,0,0,2,1,4,27,0,0,0,34
17,MADHESH PROVINCE,DHANUSA,1,0,0,0,0,0,1,4,33,4,0,0,43
18,MADHESH PROVINCE,MAHOTTARI,0,0,0,1,0,0,0,0,9,2,0,0,12
19,MADHESH PROVINCE,SARLAHI,0,0,0,0,0,2,1,11,27,3,0,0,44
20,MADHESH PROVINCE,RAUTAHAT,0,0,1,4,5,3,2,6,25,6,0,0,52
21,MADHESH PROVINCE,BARA,2,2,1,1,2,3,3,9,33,7,0,0,63
22,MADHESH PROVINCE,PARSA,2,1,0,1,1,0,1,14,22,9,0,0,51
23,BAGMATI PROVINCE,DOLAKHA,0,1,2,2,1,0,3,4,29,16,0,0,58
24,BAGMATI PROVINCE,SINDHUPALCHOK,1,10,25,2,5,2,13,16,64,6,0,0,144
25,BAGMATI PROVINCE,RASUWA,1,0,0,0,0,0,0,4,6,2,0,0,13
26,BAGMATI PROVINCE,DHADING,2,0,0,0,2,0,5,22,99,22,0,0,152
27,BAGMATI PROVINCE,NUWAKOT,4,0,2,2,2,4,3,27,102,7,0,0,153
28,BAGMATI PROVINCE,KATHMANDU,"1
6",7,14,36,32,51,109,284,1518,500,0,0,2567
29,BAGMATI PROVINCE,BHAKTAPUR,14,3,2,3,4,7,7,41,165,62,0,0,308
30,BAGMATI PROVINCE,LALITPUR,10,1,4,2,1,2,11,84,400,131,0,0,646
31,BAGMATI PROVINCE,KAVREPALANCHOK,2,2,0,0,8,15,36,40,84,36,0,0,223
32,BAGMATI PROVINCE,RAMECHHAP,2,7,0,1,1,1,3,6,36,13,0,0,70
33,BAGMATI PROVINCE,SINDHULI,2,3,1,1,0,3,5,12,43,13,0,0,83
34,BAGMATI PROVINCE,MAKWANPUR,"1
1",11,13,12,9,9,15,45,99,23,0,0,247
35,BAGMATI PROVINCE,CHITAWAN,10,10,11,25,16,7,134,313,321,60,0,0,907
36,GANDAKI PROVINCE,GORKHA,12,0,1,3,2,6,32,197,306,61,0,0,620
37,GANDAKI PROVINCE,MANANG,0,0,0,0,0,1,0,1,0,0,0,0,2
38,GANDAKI PROVINCE,MUSTANG,0,0,0,0,0,0,0,0,12,1,0,0,"1
3"
39,GANDAKI PROVINCE,MYAGDI,6,3,2,1,1,7,11,28,115,27,0,0,201
40,GANDAKI PROVINCE,KASKI,"1
8",1,0,1,4,9,86,610,1722,258,0,0,2709
41,GANDAKI PROVINCE,LAMJUNG,10,0,0,7,7,4,20,31,30,5,0,0,114
42,GANDAKI PROVINCE,TANAHU,9,0,2,11,17,9,274,854,588,190,0,0,1954
43,GANDAKI PROVINCE,NAWALPARASI EAST,6,3,4,3,4,3,11,29,63,20,0,0,146
44,GANDAKI PROVINCE,SYANGJA,5,5,3,1,4,3,19,77,158,18,0,0,293
45,GANDAKI PROVINCE,PARBAT,1,0,2,1,2,3,22,620,659,111,0,0,1421
46,GANDAKI PROVINCE,BAGLUNG,0,2,4,0,2,1,12,58,289,221,0,0,589
47,LUMBINI PROVINCE,RUKUM EAST,0,0,1,0,0,1,0,1,6,0,0,0,9
48,LUMBINI PROVINCE,ROLPA,0,0,1,1,0,1,2,12,17,3,0,0,"3
7"
49,LUMBINI PROVINCE,PYUTHAN,0,0,1,1,0,1,0,9,12,4,0,0,28
50,LUMBINI PROVINCE,GULMI,3,3,2,2,3,3,4,30,41,5,0,0,96
51,LUMBINI PROVINCE,ARGHAKHANCHI,0,1,2,2,6,9,9,41,55,5,0,0,130
52,LUMBINI PROVINCE,PALPA,4,6,10,2,0,11,25,46,103,13,0,0,220
53,LUMBINI PROVINCE,NAWALPARASI WEST,1,0,2,0,0,1,4,8,13,2,0,0,31
54,LUMBINI PROVINCE,RUPANDEHI,3,8,6,9,2,2,12,28,81,7,0,0,158
55,LUMBINI PROVINCE,KAPILBASTU,6,2,2,4,0,0,0,9,18,1,0,0,42
56,LUMBINI PROVINCE,DANG,3,4,1,2,4,8,11,82,151,20,0,0,286
57,LUMBINI PROVINCE,BANKE,0,0,1,4,1,1,5,9,27,4,0,0,52
58,LUMBINI PROVINCE,BARDIYA,0,0,0,1,7,2,3,6,24,3,0,0,46
59,KARNALI PROVINCE,DOLPA,0,0,0,0,0,0,0,3,0,0,0,0,3
60,KARNALI PROVINCE,MUGU,0,0,0,0,0,1,1,1,1,2,0,0,6
61,KARNALI PROVINCE,HUMLA,0,0,0,0,0,0,0,0,0,0,0,0,0
62,KARNALI PROVINCE,JUMLA,0,0,0,0,0,0,0,2,4,4,0,0,10
63,KARNALI PROVINCE,KALIKOT,0,0,0,1,0,0,0,10,8,3,0,0,22
64,KARNALI PROVINCE,DAILEKH,0,0,0,1,2,1,1,4,9,1,0,0,19
65,KARNALI PROVINCE,JAJARKOT,0,0,1,0,0,0,0,3,14,1,0,0,19
66,KARNALI PROVINCE,RUKUM WEST,0,2,3,1,0,1,0,6,19,3,0,0,35
67,KARNALI PROVINCE,SALYAN,0,0,0,1,1,1,1,5,16,0,0,0,25
68,KARNALI PROVINCE,SURKHET,0,0,2,0,0,1,9,37,56,7,0,0,112
69,SUDUR PASHCHIM PROVINCE,BAJURA,2,4,5,1,1,2,1,7,9,4,0,0,36
70,SUDUR PASHCHIM PROVINCE,BAJHANG,0,0,0,1,1,1,1,1,15,1,0,0,21
71,SUDUR PASHCHIM PROVINCE,DARCHULA,0,0,0,1,7,6,5,7,19,0,0,0,45
72,SUDUR PASHCHIM PROVINCE,BAITADI,0,0,0,0,0,3,3,16,41,3,0,0,66
73,SUDUR PASHCHIM PROVINCE,DADELDHURA,0,0,1,0,2,2,3,7,50,5,0,0,70
74,SUDUR PASHCHIM PROVINCE,DOTI,4,8,9,6,2,20,4,3,19,5,0,0,80
75,SUDUR PASHCHIM PROVINCE,ACHHAM,0,0,10,12,2,9,16,20,32,4,0,0,105
76,SUDUR PASHCHIM PROVINCE,KAILALI,1,9,7,12,7,14,23,75,92,26,0,0,266
77,SUDUR PASHCHIM PROVINCE,KANCHANPUR,6,4,7,5,4,0,9,21,58,15,0,0,129
